archivo,grupo,h,c
A Night In Tunisia.mp3,jazz,0.8420933062910747,1.0089589796962743
Chris Barber's Jazz Band.mp3,jazz,0.7854880875857995,0.9274363187231738
Ornithology.mp3,jazz,0.726715299206214,1.174784536669889
So what.mp3,jazz,0.8526397651155909,1.084702234063654
TAKE THE A TRAIN.mp3,jazz,0.774119098984116,1.3422323535961138
What a wonderful world.mp3,jazz,0.8766922730995506,1.1360095425369494
feeling good.mp3,jazz,0.7880062004848933,1.814634371819385
01. Aphex Twin - Xtal.mp3,techno,0.5137118366053902,3.881645521884372
11. Aphex Twin - Hedphelym.mp3,techno,0.5986873555397666,1.940913065851829
Kraftwerk_-_The_Model_(FeelMP3.com).mp3,techno,0.9001552394447427,1.2114255817837754
ruido_blanco,ruido,0.5325170050640946,1.9996619951833747
ruido_rosa,ruido,0.8124186794178944,1.9637300679141478
ruido_marron,ruido,1.291363306521669,2.354017009523807
